sample_name	collection date	isolate	host	lab host	geographic location	isolation source
sample_99	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_100	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_101	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_102	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_103	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_104	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_105	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_106	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_107	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_108	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_109	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_110	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_111	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_112	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_113	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_114	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_115	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_116	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_117	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_118	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_119	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_120	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_121	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_122	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_123	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_124	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_125	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_126	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_127	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_128	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_129	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_130	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_131	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_132	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_133	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_134	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_135	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_136	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_137	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_138	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_139	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_140	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_141	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_142	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_143	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_144	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_145	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_146	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_147	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
