sample_name	collection date	isolate	host	lab host	geographic location	isolation source
sample_294	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_295	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_296	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_297	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_298	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_299	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_300	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_301	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_302	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_303	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_304	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_305	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_306	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_307	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_308	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_309	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_310	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_311	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_312	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_313	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_314	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_315	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_316	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_317	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_318	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_319	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_320	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_321	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_322	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_323	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_324	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_325	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_326	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_327	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_328	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_329	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_330	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_331	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_332	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_333	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_334	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_335	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_336	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_337	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_338	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_339	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_340	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_341	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_342	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_343	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_344	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_345	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_346	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_347	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_348	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_349	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_350	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_351	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_352	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_353	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_354	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_355	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_356	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_357	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_358	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_359	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_360	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_361	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_362	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_363	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_364	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_365	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_366	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_367	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_368	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_369	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_370	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_371	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_372	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_373	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_374	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_375	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_376	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_377	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_378	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_379	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_380	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_381	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_382	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_383	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_384	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_385	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_386	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_387	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_388	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_389	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_390	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_391	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_392	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_393	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_394	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_395	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_396	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_397	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_398	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_399	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_400	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_401	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_402	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_403	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_404	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_405	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_406	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_407	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_408	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_409	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_410	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_411	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_412	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_413	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_414	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_415	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_416	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_417	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_418	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_419	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_420	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_421	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_422	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_423	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_424	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_425	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_426	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_427	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_428	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_429	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_430	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_431	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_432	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_433	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_434	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_435	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_436	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_437	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_438	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_439	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_440	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_441	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_442	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_443	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_444	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_445	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_446	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_447	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_448	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_449	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_450	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_451	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_452	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_453	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_454	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_455	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_456	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_457	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_458	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_459	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_460	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_461	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_462	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_463	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_464	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_465	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_466	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_467	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_468	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_469	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_470	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_471	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_472	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_473	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_474	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_475	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_476	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_477	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_478	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_479	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_480	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_481	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_482	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_483	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_484	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_485	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_486	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_487	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_488	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_489	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_490	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_491	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_492	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_493	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_494	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_495	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_496	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_497	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_498	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_499	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_500	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_501	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_502	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_503	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_504	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_505	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_506	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_507	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_508	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_509	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_510	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_511	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_512	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_513	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_514	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_515	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_516	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_517	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_518	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_519	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_520	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_521	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_522	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_523	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_524	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_525	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_526	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_527	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_528	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_529	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_530	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_531	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_532	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_533	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_534	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_535	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_536	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_537	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_538	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_539	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_540	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_541	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_542	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_543	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_544	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_545	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_546	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_547	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_548	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_549	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_550	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_551	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_552	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_553	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_554	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_555	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_556	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_557	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_558	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_559	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_560	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_561	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_562	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_563	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_564	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_565	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_566	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_567	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_568	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_569	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_570	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_571	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_572	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_573	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_574	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_575	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_576	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_577	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_578	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_579	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_580	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_581	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_582	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_583	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_584	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_585	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_586	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_587	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_588	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_589	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_590	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
